review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year,critical_consensus,description
Totally bonkers from start to finish. Bolero never quite lets up being totally mesmerising as well.,Bolero,1984,Bolero - Movie Reviews,Drama,In Theaters:,2016,"Bolero combines a ludicrous storyline and wildly mismatched cast in its desperate attempts to titillate, but only succeeds in arousing boredom.",A 1920s English heiress (Bo Derek) seeks ecstasy with a sheik in Morocco and a bullfighter (Andrea Occhipinti) in Spain.
"Bad as Bolero is, it is unfortunately not bad enough.",Bolero,1984,Bolero - Movie Reviews,Drama,In Theaters:,2016,"Bolero combines a ludicrous storyline and wildly mismatched cast in its desperate attempts to titillate, but only succeeds in arousing boredom.",A 1920s English heiress (Bo Derek) seeks ecstasy with a sheik in Morocco and a bullfighter (Andrea Occhipinti) in Spain.
"No doubt [the climax] distracted the writer-director from the dialogue, which is in every sense unspeakable.",Bolero,1984,Bolero - Movie Reviews,Drama,In Theaters:,2016,"Bolero combines a ludicrous storyline and wildly mismatched cast in its desperate attempts to titillate, but only succeeds in arousing boredom.",A 1920s English heiress (Bo Derek) seeks ecstasy with a sheik in Morocco and a bullfighter (Andrea Occhipinti) in Spain.
"Poor Bo no sooner has her initial introduction to amour than the new lover gets gored in a sensitive location, putting him out of commission.",Bolero,1984,Bolero - Movie Reviews,Drama,In Theaters:,2016,"Bolero combines a ludicrous storyline and wildly mismatched cast in its desperate attempts to titillate, but only succeeds in arousing boredom.",A 1920s English heiress (Bo Derek) seeks ecstasy with a sheik in Morocco and a bullfighter (Andrea Occhipinti) in Spain.
"Erotic, surely, only for the very easily pleased.",Bolero,1984,Bolero - Movie Reviews,Drama,In Theaters:,2016,"Bolero combines a ludicrous storyline and wildly mismatched cast in its desperate attempts to titillate, but only succeeds in arousing boredom.",A 1920s English heiress (Bo Derek) seeks ecstasy with a sheik in Morocco and a bullfighter (Andrea Occhipinti) in Spain.
"The real future of Bolero is in home cassette rentals, where your fast forward and instant replay controls will supply the editing job the movie so desperately needs.",Bolero,1984,Bolero - Movie Reviews,Drama,In Theaters:,2016,"Bolero combines a ludicrous storyline and wildly mismatched cast in its desperate attempts to titillate, but only succeeds in arousing boredom.",A 1920s English heiress (Bo Derek) seeks ecstasy with a sheik in Morocco and a bullfighter (Andrea Occhipinti) in Spain.
"For some reason, the movie's sex scenes, which are relatively few, have been directed as slapstick.",Bolero,1984,Bolero - Movie Reviews,Drama,In Theaters:,2016,"Bolero combines a ludicrous storyline and wildly mismatched cast in its desperate attempts to titillate, but only succeeds in arousing boredom.",A 1920s English heiress (Bo Derek) seeks ecstasy with a sheik in Morocco and a bullfighter (Andrea Occhipinti) in Spain.
"'Jaws: The Revenge' bears the marks of its rushed production, from the seemingly first-draft screenplay to its sloppy execution to the slender running time (under 90 minutes without credits) to the generally cheap look and feel.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
Jaws is looking a bit long in the tooth these days.,Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Dumb beyond belief, hollow, bloody and nonsensical, it's Universal Studios' vanity movie, a way of providing employment yet again for its Great White icon.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Everything in Jaws the Revenge is utterly expectable, which isn't a bright idea for a film relying on suspense and tension.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
Let`s put it this way: When you see and hear the nasal Lorraine Gary on screen you want the shark to eat her.,Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"A lot of the time, the people in this picture just stand around looking very sad, as if remembering happier days. Watching this sorry film, you know how they must feel.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Sargent's enough of an action vet to grind out a watchable sequel, but too much of a TV hack to turn the arbitrary dramatics into anything but synthetic pulp.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Pacing leaves a lot to be desired and the moment-of-attack sequences, full of jagged cuts and a great deal of noise, more closely resemble the view from inside a washing machine.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
It's mostly just a matter of waiting till feeding time.,Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Mild and predictable, the very things an adventure movie should never be.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"After Steven Spielberg's original, which combined shock effects with comedy and grand sea adventure touches, the series has degenerated into your basic fish-bites-man story, with very few imaginative wrinkles.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Significantly worse than the rest of the series, this film is one of the worst bell-flops in recent cinema.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
